Row,Error,Row Data
56,Invalid date format for CREATE DATE at row 56: 22-07-2025 20:52:30,"{'Unnamed: 0': nan, 'No': 55, 'CREATE DATE': '22-07-2025 20:52:30', 'USERNAME': 'gali12', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:53:17', 'PROCESS BY': 'xpukul69', 'AMOUNT': '24.00'}"
57,Invalid date format for CREATE DATE at row 57: 22-07-2025 20:52:19,"{'Unnamed: 0': nan, 'No': 56, 'CREATE DATE': '22-07-2025 20:52:19', 'USERNAME': 'entuy', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:52:57', 'PROCESS BY': 'xpukul69', 'AMOUNT': '20.00'}"
58,Invalid date format for CREATE DATE at row 58: 22-07-2025 20:52:03,"{'Unnamed: 0': nan, 'No': 57, 'CREATE DATE': '22-07-2025 20:52:03', 'USERNAME': 'buluduz', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:52:12', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '50.00'}"
59,Invalid date format for CREATE DATE at row 59: 22-07-2025 20:51:18,"{'Unnamed: 0': nan, 'No': 58, 'CREATE DATE': '22-07-2025 20:51:18', 'USERNAME': 'iis1234', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:51:46', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '25.00'}"
60,Invalid date format for CREATE DATE at row 60: 22-07-2025 20:41:45,"{'Unnamed: 0': nan, 'No': 59, 'CREATE DATE': '22-07-2025 20:41:45', 'USERNAME': 'bejo299', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:42:19', 'PROCESS BY': 'xpukul69', 'AMOUNT': '85.00'}"
61,Invalid date format for CREATE DATE at row 61: 22-07-2025 20:39:26,"{'Unnamed: 0': nan, 'No': 60, 'CREATE DATE': '22-07-2025 20:39:26', 'USERNAME': 'oblog', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:40:46', 'PROCESS BY': 'xpukul69', 'AMOUNT': '25.00'}"
62,Invalid date format for CREATE DATE at row 62: 22-07-2025 20:39:29,"{'Unnamed: 0': nan, 'No': 61, 'CREATE DATE': '22-07-2025 20:39:29', 'USERNAME': 'baimkoteh', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:40:28', 'PROCESS BY': 'dendi@xpukul69', 'AMOUNT': '47.00'}"
63,Invalid date format for CREATE DATE at row 63: 22-07-2025 20:39:24,"{'Unnamed: 0': nan, 'No': 62, 'CREATE DATE': '22-07-2025 20:39:24', 'USERNAME': '0ramdan900', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:40:03', 'PROCESS BY': 'xpukul69', 'AMOUNT': '55.00'}"
64,Invalid date format for CREATE DATE at row 64: 22-07-2025 20:34:26,"{'Unnamed: 0': nan, 'No': 63, 'CREATE DATE': '22-07-2025 20:34:26', 'USERNAME': 'mrtukul69', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:35:27', 'PROCESS BY': 'xpukul69', 'AMOUNT': '29.00'}"
65,Invalid date format for CREATE DATE at row 65: 22-07-2025 20:33:23,"{'Unnamed: 0': nan, 'No': 64, 'CREATE DATE': '22-07-2025 20:33:23', 'USERNAME': 'vivi12345', 'EVENT': 'Deposit', 'PROCESS DATE': '22-07-2025 20:34:18', 'PROCESS BY': 'xpukul69', 'AMOUNT': '30.00'}"
